Customer_id,Consumer complaint narrative
1,"I am writing you this statement to delete the following information on my credit report. The items I need deleted are listed in the report. I am a victim of identity thief, I demand that you remove these errors to correct my report immediately! I have reported this to the federal trade commission and have attached the federal trade commission affidavit. Now that I have given you the following information, please correct my credit report or I shall proceed with involving my attorney!"
2,"On XX/XX/2023, I entered a Bank of America Branch office to deposit my check. I asked the teller that approved and processed my deposit If the check could be manually verified before deposit so there would be no issues with holds as I am already adhering to the five business day policy that Bank of America requires ; she agreed and verified validity and funds of the check, processed transaction and provided me the receipt attached with the dates that funds would be available. The next day I called the bank of Americas customer service number because upon checking my account, I noticed that the check balance was no longer on hold, but the funds were reversed, so it looked as if I had never deposited the check. After waiting and speaking to 3 different managers, they updated the account to show a pending debit of funds instead of a reversal. They informed me that the check had been placed with an extra hold for an unspecified amount of time, even though the funds had been verified. The collection had begun because the issuing bank "" could try and collect it back '' I explained this was a settlement check from another significant bank. Even after being verified, I needed clarification on why this would be an issue and have yet to receive one. I decided to wait until XX/XX/2023, to verify if my partial release of funds was available, and it was not ; on XX/XX/2023, I called Bank of America and spoke to three managers via the Nevada office. They stated I only needed their first names as they are the only ones that work there. The call started with XXXX, who said that there would no longer be a partial release of funds due to the extended hold of the check ; she also verified at my request that the check had been verified and collected, but because this amount had not been deposited in my account before they would need additional time to ensure the check validity. I informed XXXX this was not the first time I had received a large check and that this was discriminatory behavior, and she insisted that it was not ; I then asked why none of this information was provided to me in writing and why I had to call to find out the updates on what was happening with my funds. She stated because these decisions were made at night and there wasn't time to inform me. I noted to her that my receipt from the teller with the release dates and funds availability was the only documentation I had been provided, and by that, they were in breach of their agreement with me at this time for this deposit. She told me she could only offer me a line of credit with them. She asked precisely why I needed the funds immediately ; I informed her I had children to feed, and she suggested I ask a friend for money. I was highly offended and asked to speak to her Manager, XXXX, and for another XXXX minutes, I talked to XXXX, who insisted on the two same options. Get a credit line or borrow money from a friend. After this frustrating and humiliating conversation, I asked to speak to XXXX 's manager and was transferred to XXXX, who stated she would review the account and give me a callback. I received a callback from XXXX at XXXX pm that same day. She proceeded to explain they were not going to release any funds to me and did not provide a reason but offered to give me a {$500.00} counter credit that I would need to go to the atm and pull out immediately before it wasn't available again so that I could use to funds for food for my children. I asked her who came up with that amount and why I was being offered a credit when I had a receipt showing I should have funds available. XXXX explained that was the best she could do, I stated that this was mishandled entirely and I would be submitting a complaint against all 3 of them, and XXXX explained that if I proceeded with a complaint, I would forfeit the XXXX credit. I agreed to forfeit the credit as I should have been given my funds since they breached the agreement with the receipt they provided. I also believe it is unfair to be forced into another consumer product from them ( a line of credit ) to have access to my funds. It is XX/XX/2023, when my total funds should be available, and my account balance is still negative."
3,"Folks, I am in XXXX XXXX. I was living and working in the US quite a while ago and had some monies in Bank of America. I was always able to log in via internet and see my account and check the balance. In XX/XX/2022 the debit card issued to me expired and I duly requested another card to be sent to me. I had always made sure that my contact details were updated. No new card was sent out and no contact was made. The bank 's 2 factor authentication made it impossible for me to access my account from XXXX simply because I did not have a US  mobile and BofA could not accept international mobile numbers. I was told by BofA that I needed a XXXX  USB cryptographic key to be able to access my account and to be able to make wire transfers. I was forced against my will to actually purchase a USB key ( for XXXX ) so that I can regain access to internet banking. Once I had access, I tried making a wire transfer through internet banking with the assistance of BofA staff. 
That transaction was then cancelled by BofA. I have since tried to communicate and make a phone appointment but all I got was empty promises of contact. I can not access my money of {$5300.00} nor can I close my account. Please help"
4,"On XX/XX/XXXX, XX/XX/XXXX and XX/XX/XXXX I was contacted on my cellphone by Radius Global Solutions, a debt collection agency ( https : //www.radiusgs.com ). I ignored the calls. I was again contacted via cell phone today at XXXXXXXX XXXX from ( XXXX ) XXXX. I ignored this as well. On XX/XX/XXXX I sent a certified cease and desist letter to address : XXXX XXXX XXXX XXXX XXXX, XXXX, MN XXXX with tracking number XXXX which was "" delivered to final agent for final delivery '' on XX/XX/XXXX at XXXX XXXX per return receipt. 

They have been ordered to stop and yet they continue to call."
5,"I placed an order for a product with Best Buy on XX/XX/XXXX, using my Best Buy Credit Card for payment ( {$1200.00} ). The order was to be delivered XXXX via XXXX. The order was never delivered. Best Buy retailer was contacted via support chat on XX/XX/XXXX, XX/XX/XXXX, XX/XX/XXXX : refuses to re-ship the order or issue a credit. XXXX tracking info indicates the order was signed for, but the signature is not my name ( and I live alone ). I considered XXXX  at fault and filed a complaint with XXXX XXXX XXXX XXXX XXXX XXXX XXXX ( called virtual BOT XX/XX/XXXX ; spoke to live rep XX/XX/XXXX ; response email to XXXX complaint received on XX/XX/XXXX ) is adamant that Best Buy retailer needs to file a claim to resolve the issue, but Best Buy retailer refuses to do so. I called Best Buy Credit Card Support on XXXX to file a dispute : they are telling me it can take 60-90 days to reach a resolution. I find this very unacceptable and frustrating b/c I suspect XXXX messed up ( either delivered to wrong address & person, or driver kept the order ) but refuses to take blame, but more importantly Best Buy retailer and Credit Card refuses to support a long-time customer and makes me feel like I am not worth the time and effort to resolve the matter promptly."
6,Last week there was approximately {$140.00} withdrawn by ACH. I contacted the bank as this was not authorized. I did not sign up or give anyone my account information. I was told this also occurred two times prior. This is FRAUD. The bank refunded one of three fraudulent withdrawals and refuses to refund approximately {$300.00} they allowed to be removed without any signed consent or any authorization by me.
7,I currently have title loan for my vehicle. I have constantly gotten calls of harassment from the office threaten my vehicle would be repo. If I am week late or two weeks late. Recently had a company that was willing to buy out my car. With XXXX I had my car auction off. Contact the title max company advise the XXXX regarding a 10 day payoff. XXXX fail to provide the appropriate amount. Which then my deal fail through at the time of drop off. The general manager and the Store manager call titlemax that day on Saturday XXXX of XXXX and was told that she could not provide them what they needed at the time. I even called and could not get her to provide me the 10 day payoff. On Monday XX/XX/23 I get a phone call from title max I answered the call dead silence. I called back after the call and XXXX answered the phone I asked her why did Hangul on me she state she did not hear me. My property manager was here in the office when these calls were being made. Upon speaking to aylissa she proceeded to tell me that if I had not brought a payment in she was going have my car repo. I then proceeded to ask XXXX why had she not provided the 10 day payoff that I asked her for on Thursday XX/XX/23. She said she could but then would manual a 10 day payoff. I loss the deal with the company do to her negligence and on top of that she called me right on Monday threaten to take my car. I then proceeded to call corporate regarding the issue. Which they redirected me to XXXX advise them I did not want to speak to her I wanted to speak to her superior. I finally spoke to XXXX who is her boss no result only apologizing saying we hold off until next week of payment. Which at this point in time is not a solution. I am very distraught with the harassing phone calls which on several occasion XXXX has threaten to pickup my car and it hasnt been a 30 day window to do so. I have asked XXXX on several occasion to transfer me to another store where she has refused. I even attempt to sale my car with no avail was not able to because she purposely did not provide proper documentation. I pay over XXXX to XXXX dollars already on this vehicle with a pay of XXXX. Which at this time is too high. Not to mention ot does not hit the principle of the loan. I want something done this has mentally stress me out where I am not able to function with this constantly over my head. Then to be constantly threaten. Titlemax has no integrity whats so ever. I filed a complaint each month to corporate to nothing happening I can barley pay my other bills with economy prices going. All my money and time is going on this vehicle. I tried to have bought out still couldnt get that done. I am now keeping my car but want to get out of this loan. I borrowed XXXX dollars on this loan. And have paid over XXXX but still owe XXXX. I can not do this. I want file complaint agains this company literally stressed out because of all this. Please help.
8,"On XX/XX/XXXX I received an email from Bank of America stating an account was opened in my name. I contacted them as soon as I woke up and saw the email regarding the fraudulent account. I was told that it was closed and that was it. I received an email about a week later entitled Check Fraud and Digital Claims and the email looked suspicious asking me to send a copy of my social security card, social security statement, my identification, mortgage/lease statement and other personal information. I co tasted Bank of America and after 2 hours was not able to resolve this issue. They don't want to confirm if the account is closed and are acting like they can't tell me if there has been activity on this account that was opened in my name. They won't answer how or why an account could be opened in my name without them verifying my information or receiving a deposit. I would like to file a complaint on Bank of America because this business practice is not fair to consumers. I have a block on my credit and now a block on XXXX. I feel like they are not doing their due diligence to protect consumers from fraud."
9,"A XXXX U.S. citizen fighting for his right to privacy. I have never given my consent in writing or otherwise for my personal nonpublic information to be made public with any company or institution. 



15 U.S.C 1681 section 602 A. States I have the right to privacy.

15 U.S.C 1681 Section 604 A Section 2 : It also states a consumer reporting agency can not furnish a account without my written instructions 15 U.S. Code 6802 - Obligations with respect to disclosures of personal information ( b ) Opt out ( 1 ) In generalA financial institution may not disclose nonpublic personal information to a nonaffiliated third party unless ( A ) such financial institution clearly and conspicuously discloses to the consumer, in writing or in electronic form or other form permitted by the regulations prescribed under section 6804 of this title, that such information may be disclosed to such third party ; ( B ) the consumer is given the opportunity, before the time that such information is initially disclosed, to direct that such information not be disclosed to such third party ; and ( C ) the consumer is given an explanation of how the consumer can exercise that nondisclosure option."
10,"Dear Wakefield and Associates, I am writing in regards to a collection listed on my XXXX credit report. The collection is dated XX/XX/2020 and is for XXXX I am disputing this collection. I have not made any payments on this debt and do not recognize it as mine. I was not aware of this debt until I recently reviewed my credit report. 

I am asking that you verify the accuracy of this collection and provide supporting documentation to validate the debt. If I do not receive a response within 30 days, I will consider this debt as invalid and request that XXXX delete it from my credit report. 

I appreciate your prompt attention to this matter. 

Sincerely, XXXX XXXX"
