POSITION_CODE,DEPARTMENT_CODE,DAYS_WITH_COMPANY,COMMUTE_TIME,AGE_BEGIN_PERIOD,GENDER_CODE,ATTRITION,PERIOD_TOTAL_DAYS,STARTING_SALARY,ENDING_SALARY,NB_INCREASES,BONUS,NB_BONUS,VACATION_DAYS_TAKEN,SICK_DAYS_TAKEN,PROMOTIONS,NB_MANAGERS,DAYS_IN_POSITION,DAYS_SINCE_LAST_RAISE,RANKING_CODE,OVERTIME,DBLOVERTIME,TRAVEL
1200,200,1825,29,55,0,0,330,159230.77,161538.46,1,0,0,28,10.5,0,1,1825,0,3,0,0,0
1200,200,2615,0,49,0,0,180,181153.85,183846.15,1,0,0,15,4,0,1,2615,60,3,0,0,0
1300,320,1609,30,44,1,0,330,129692.31,132923.08,1,0,0,20,15,0,1,1609,150,3,0,0,0
1300,320,2035,13,45,0,0,330,146769.23,150461.54,1,0,0,28,8,0,1,2035,210,3,0,0,0
1400,380,1885,31,44,0,0,330,146769.23,150461.54,1,0,0,26,11.5,0,1,1885,60,3,0,0,0
1400,380,3070,35,40,0,0,330,157846.15,161538.46,1,0,0,19,12.5,0,1,3070,150,3,0,0,0
1400,380,1825,9,40,1,0,330,146769.23,150461.54,1,0,0,20,9,0,1,1825,0,3,0,0,0
1500,300,2035,11,46,0,0,330,132923.08,136153.85,1,0,0,10,9,0,1,2035,210,3,0,0,0
1500,300,2250,0,45,1,0,180,150461.54,154153.85,1,0,0,10,4,0,1,2250,60,3,0,0,0
1600,330,1520,31,46,0,0,330,143076.92,146769.23,1,0,0,26,9.5,0,1,1520,60,3,0,0,0
1600,330,2280,18,44,1,0,330,150461.54,154153.85,1,0,0,25,9,0,1,2280,90,3,0,0,0
1600,330,1550,19,44,0,0,330,129692.31,132923.08,1,0,0,20,5,0,1,1550,90,3,0,0,0
2000,320,1640,15,45,1,0,330,60000,63500,1,1270,1,15,10,0,1,1640,180,2,0,0,0
2000,320,1095,12,31,1,0,330,56500,60000,1,2260,1,23,15,0,1,1095,0,3,0,0,0
2000,320,2037,0,36,0,1,330,63500,67000,1,3810,1,15,7,0,1,2037,210,3,84.375,0,0
2100,320,2340,15,32,0,0,330,40000,42500,1,800,1,22,5,0,1,2340,150,2,0,0,0
2100,320,2155,0,35,0,0,180,40000,40000,0,1600,1,10,5.5,0,1,2155,330,3,0,0,0
2200,320,940,0,27,1,0,180,25230.77,25230.77,0,504.6154,1,12,6,0,1,940,210,2,19,0,0
2200,320,150,0,27,0,0,150,22000,22000,0,0,0,0,4,0,1,150,150,3,3,0,0
2200,320,695,0,29,1,0,180,23615.38,23615.38,0,944.6152,1,22,6,0,1,695,330,3,41,15.0875,0
2200,320,730,0,21,1,0,180,23615.38,25230.77,1,1416.9228,1,12,2,0,1,730,0,4,41,13.415,0
2200,320,1038,54,30,1,1,330,23615.38,25230.77,1,1009.2308,1,12,13,0,1,1038,300,3,33.875,3.835,0
2200,320,1648,44,29,1,1,330,26846.15,28461.54,1,536.923,1,18,4,0,1,1648,180,2,35.375,10.4775,0
