HIRED,Age,BusinessTravel,Education,RelevantEducationLevel,JobLevel,MaritalStatus,NumCompaniesWorked,OverTime,InterviewScore,ResumeScore,RequestedBenefits,TotalWorkingYears,PreferredSkills,YearsAtCurrentCompany,RelevantExperience,JobType,SalaryExpectation,IsFemale
1,28,1,1,3,1,2,1,0,0,2,0,9,0,9,8,1,0,1
1,28,2,2,3,0,2,1,1,1,1,1,5,1,5,2,0,1,0
0,19,1,2,2,0,1,1,0,0,2,0,1,2,1,0,1,1,0
0,39,1,3,3,0,2,7,0,0,2,1,7,0,3,2,1,1,1
0,32,1,2,4,0,2,0,1,0,3,0,7,1,6,2,1,1,0
1,33,1,1,4,0,0,1,0,1,3,1,14,1,14,11,1,2,0
0,35,1,2,1,1,2,6,1,0,3,0,7,1,2,2,1,1,0
0,30,1,1,3,1,0,5,0,0,0,1,4,2,9,2,1,1,0
0,38,1,0,2,2,0,0,0,0,0,1,20,2,19,9,1,2,1
1,44,1,1,4,2,0,3,1,3,2,1,23,1,12,11,1,2,1
0,34,1,1,4,0,0,0,0,0,3,0,2,1,1,0,1,2,1
0,40,1,2,3,2,1,5,1,0,3,1,4,2,21,2,1,2,1
1,41,2,1,3,2,2,2,0,2,1,1,21,1,18,16,1,2,0
1,34,2,3,3,0,2,1,1,2,3,1,5,2,5,3,0,2,0
0,40,1,1,1,1,0,2,0,0,1,1,2,1,1,0,1,2,1
0,43,1,1,3,2,0,8,0,0,0,1,10,0,1,0,0,1,1
1,39,1,1,3,0,0,7,1,0,3,0,8,1,2,2,1,2,0
0,45,1,1,2,1,1,4,0,1,2,0,10,2,5,4,1,2,1
0,34,1,0,2,1,0,4,0,0,0,1,5,1,6,2,1,2,1
0,29,2,1,3,1,2,1,0,0,1,1,6,1,4,3,1,2,1
0,22,1,0,2,0,0,1,0,0,1,0,3,1,2,2,1,2,1
0,30,1,1,3,2,1,9,0,0,1,0,9,2,0.3,7,1,2,1
0,26,1,3,1,0,0,1,0,2,2,1,3,2,3,2,1,1,0
1,34,2,1,2,1,1,0,0,0,2,0,14,2,13,9,1,2,0
1,35,1,1,3,2,0,0,0,1,2,0,12,2,11,9,1,1,0
1,47,1,1,3,0,0,7,0,3,2,1,17,1,6,5,1,1,0
0,35,1,2,2,1,1,4,0,3,3,0,9,2,3,2,1,1,0
0,23,1,0,3,0,0,1,0,0,3,1,5,1,4,3,1,2,1
0,34,1,3,2,0,0,1,1,0,1,1,6,1,5,2,1,1,0
1,32,2,2,1,1,2,0,0,3,3,1,9,1,8,7,1,2,0
1,29,1,1,2,0,0,3,0,1,0,1,9,1,6,6,1,1,1
0,32,1,3,3,1,0,1,1,0,3,1,6,1,6,4,1,2,1
1,34,1,1,2,0,0,5,0,1,0,1,7,1,5,4,1,2,1
0,36,1,1,2,0,0,0,1,0,0,1,2,0,1,0,1,2,1
1,32,1,2,4,1,0,5,0,2,2,1,9,2,5,3,1,1,1
0,40,1,1,2,2,0,1,0,0,3,0,18,1,18,15,1,1,1
1,31,1,1,3,1,0,1,0,0,2,1,7,1,2,2,0,1,0
0,45,1,1,2,0,1,4,0,1,2,0,10,2,0,4,1,1,0
0,51,1,3,3,2,0,2,0,2,2,1,29,1,20,6,1,2,1
0,34,1,1,2,2,1,1,0,0,1,0,14,1,11,2,1,1,1
0,38,1,1,2,1,1,1,0,0,1,0,8,1,3,2,1,1,1
1,50,1,2,2,2,2,5,1,2,3,1,29,1,27,3,0,1,1
0,43,1,3,2,2,2,4,1,0,2,1,21,2,1,0,1,1,0
0,54,1,3,2,2,0,6,0,0,1,1,13,2,9,4,1,0,1
0,55,1,3,4,2,1,8,0,0,3,0,36,2,24,15,1,0,0
0,24,1,1,3,0,1,8,0,0,3,0,6,1,4,3,0,2,1
0,36,1,0,2,2,0,1,1,0,0,1,16,1,16,7,1,2,1
1,36,1,1,3,0,0,4,0,1,1,1,8,1,5,2,1,1,0
1,31,1,3,2,1,0,1,0,3,0,0,13,2,12,7,1,2,1
0,37,1,1,3,0,1,4,0,0,0,0,8,1,3,2,0,2,1
0,27,1,1,3,0,1,1,1,0,1,0,4,1,4,3,1,2,1
0,45,1,2,2,0,2,4,1,1,3,0,10,2,6,4,1,1,0
0,26,1,1,2,1,0,7,1,0,2,1,5,1,2,2,1,2,1
1,46,1,1,3,2,2,4,1,3,1,1,13,1,10,6,1,1,0
0,51,1,3,3,0,0,3,0,0,1,0,10,2,4,2,1,2,1
0,19,1,2,3,0,1,0,0,0,0,0,3,2,1,1,0,2,1
1,41,1,1,2,2,0,1,0,1,2,1,21,1,20,5,1,2,0
1,42,2,1,3,2,0,2,1,3,2,1,24,2,20,8,1,1,0
1,41,1,2,2,1,0,1,1,2,1,1,9,0,6,5,0,1,0
0,31,0,1,3,2,2,1,1,2,0,0,10,2,10,8,1,2,1
1,33,1,2,3,0,2,3,1,1,2,1,7,2,4,3,1,1,0
0,30,1,1,1,0,0,3,0,0,2,0,7,1,2,2,1,2,0
0,19,1,2,2,0,1,1,0,0,1,0,1,1,1,2,0,2,1
1,35,2,3,3,1,1,1,1,2,1,0,9,2,9,6,1,0,0
